date,air_temperature,lat,long,station,season,month,year
2021-08-13,16.18,54.614,-3.155,1,3,8,2021
2021-08-14,15.21,54.614,-3.155,1,3,8,2021
2021-08-15,13.86,54.614,-3.155,1,3,8,2021
2021-08-16,14.78,54.614,-3.155,1,3,8,2021
2021-08-17,15.55,54.614,-3.155,1,3,8,2021
2021-08-18,14.89,54.614,-3.155,1,3,8,2021
2021-08-19,14.87,54.614,-3.155,1,3,8,2021
2021-08-20,16.13,54.614,-3.155,1,3,8,2021
2021-08-21,16.8,54.614,-3.155,1,3,8,2021
2021-08-22,17.09,54.614,-3.155,1,3,8,2021
2021-08-23,17.88,54.614,-3.155,1,3,8,2021
2021-08-24,16.16,54.614,-3.155,1,3,8,2021
2021-08-25,17.46,54.614,-3.155,1,3,8,2021
2021-08-26,16.42,54.614,-3.155,1,3,8,2021
2021-08-27,13.47,54.614,-3.155,1,3,8,2021
2021-08-28,13.46,54.614,-3.155,1,3,8,2021
2021-08-29,13.21,54.614,-3.155,1,3,8,2021
2021-08-30,13.98,54.614,-3.155,1,3,8,2021
2021-08-31,13.55,54.614,-3.155,1,3,8,2021
2021-09-01,14.24,54.614,-3.155,1,4,9,2021
2021-09-02,15.71,54.614,-3.155,1,4,9,2021
2021-09-03,12.55,54.614,-3.155,1,4,9,2021
2021-09-04,14.48,54.614,-3.155,1,4,9,2021
2021-09-05,15.9,54.614,-3.155,1,4,9,2021
2021-09-06,17.48,54.614,-3.155,1,4,9,2021
2021-09-07,17.98,54.614,-3.155,1,4,9,2021
2021-09-08,20.62,54.614,-3.155,1,4,9,2021
2021-09-09,18.26,54.614,-3.155,1,4,9,2021
2021-09-10,17.62,54.614,-3.155,1,4,9,2021
2021-09-11,15.5,54.614,-3.155,1,4,9,2021
2021-09-12,13.12,54.614,-3.155,1,4,9,2021
2021-09-13,13.35,54.614,-3.155,1,4,9,2021
2021-09-14,14.4,54.614,-3.155,1,4,9,2021
2021-09-15,14.0,54.614,-3.155,1,4,9,2021
2021-09-16,15.11,54.614,-3.155,1,4,9,2021
2021-09-17,16.34,54.614,-3.155,1,4,9,2021
2021-09-18,15.14,54.614,-3.155,1,4,9,2021
2021-09-19,14.3,54.614,-3.155,1,4,9,2021
2021-09-20,12.52,54.614,-3.155,1,4,9,2021
2021-09-21,14.34,54.614,-3.155,1,4,9,2021
2021-09-22,16.22,54.614,-3.155,1,4,9,2021
2021-09-23,14.41,54.614,-3.155,1,4,9,2021
2021-09-24,16.56,54.614,-3.155,1,4,9,2021
2021-09-25,16.6,54.614,-3.155,1,4,9,2021
2021-09-26,16.73,54.614,-3.155,1,4,9,2021
2021-09-27,11.95,54.614,-3.155,1,4,9,2021
2021-09-28,10.32,54.614,-3.155,1,4,9,2021
2021-09-29,9.2,54.614,-3.155,1,4,9,2021
2021-09-30,12.74,54.614,-3.155,1,4,9,2021
2021-10-01,11.77,54.614,-3.155,1,4,10,2021
2021-10-02,9.56,54.614,-3.155,1,4,10,2021
2021-10-03,10.81,54.614,-3.155,1,4,10,2021
2021-10-04,10.39,54.614,-3.155,1,4,10,2021
2021-10-05,9.44,54.614,-3.155,1,4,10,2021
2021-10-06,10.33,54.614,-3.155,1,4,10,2021
2021-10-07,15.37,54.614,-3.155,1,4,10,2021
2021-10-08,16.06,54.614,-3.155,1,4,10,2021
2021-10-09,14.73,54.614,-3.155,1,4,10,2021
2021-10-10,10.84,54.614,-3.155,1,4,10,2021
2021-10-11,12.12,54.614,-3.155,1,4,10,2021
2021-10-12,12.91,54.614,-3.155,1,4,10,2021
2021-10-13,12.55,54.614,-3.155,1,4,10,2021
2021-10-14,12.46,54.614,-3.155,1,4,10,2021
2021-10-15,6.32,54.614,-3.155,1,4,10,2021
2021-10-16,8.28,54.614,-3.155,1,4,10,2021
2021-10-17,13.61,54.614,-3.155,1,4,10,2021
2021-10-18,14.31,54.614,-3.155,1,4,10,2021
2021-10-19,15.6,54.614,-3.155,1,4,10,2021
2021-10-20,10.86,54.614,-3.155,1,4,10,2021
2021-10-21,6.98,54.614,-3.155,1,4,10,2021
2021-10-22,9.86,54.614,-3.155,1,4,10,2021
2021-10-23,10.56,54.614,-3.155,1,4,10,2021
2021-10-24,11.56,54.614,-3.155,1,4,10,2021
2021-10-25,10.89,54.614,-3.155,1,4,10,2021
2021-10-26,13.55,54.614,-3.155,1,4,10,2021
2021-10-27,15.38,54.614,-3.155,1,4,10,2021
2021-10-28,14.0,54.614,-3.155,1,4,10,2021
2021-10-29,10.92,54.614,-3.155,1,4,10,2021
2021-10-30,9.21,54.614,-3.155,1,4,10,2021
2021-10-31,8.91,54.614,-3.155,1,4,10,2021
2021-11-01,9.03,54.614,-3.155,1,4,11,2021
2021-11-02,7.58,54.614,-3.155,1,4,11,2021
2021-11-03,6.38,54.614,-3.155,1,4,11,2021
2021-11-04,3.51,54.614,-3.155,1,4,11,2021
2021-11-05,7.95,54.614,-3.155,1,4,11,2021
2021-11-06,10.77,54.614,-3.155,1,4,11,2021
2021-11-07,9.04,54.614,-3.155,1,4,11,2021
2021-11-08,10.45,54.614,-3.155,1,4,11,2021
2021-11-09,12.08,54.614,-3.155,1,4,11,2021
2021-11-10,8.54,54.614,-3.155,1,4,11,2021
2021-11-11,9.57,54.614,-3.155,1,4,11,2021
2021-11-12,11.31,54.614,-3.155,1,4,11,2021
2021-11-13,8.27,54.614,-3.155,1,4,11,2021
2021-11-14,7.35,54.614,-3.155,1,4,11,2021
2021-11-15,9.65,54.614,-3.155,1,4,11,2021
2021-11-16,9.7,54.614,-3.155,1,4,11,2021
2021-11-17,9.43,54.614,-3.155,1,4,11,2021
2021-11-18,12.89,54.614,-3.155,1,4,11,2021
2021-11-19,12.25,54.614,-3.155,1,4,11,2021
2021-11-20,9.45,54.614,-3.155,1,4,11,2021
2021-11-21,4.44,54.614,-3.155,1,4,11,2021
2021-11-22,3.25,54.614,-3.155,1,4,11,2021
2021-11-23,6.76,54.614,-3.155,1,4,11,2021
2021-11-24,6.28,54.614,-3.155,1,4,11,2021
2021-11-25,2.25,54.614,-3.155,1,4,11,2021
2021-11-26,5.72,54.614,-3.155,1,4,11,2021
2021-11-27,1.72,54.614,-3.155,1,4,11,2021
2021-11-28,-1.4,54.614,-3.155,1,4,11,2021
2021-11-29,1.8,54.614,-3.155,1,4,11,2021
2021-11-30,10.24,54.614,-3.155,1,4,11,2021
2021-12-01,5.04,54.614,-3.155,1,1,12,2021
2021-12-02,1.63,54.614,-3.155,1,1,12,2021
2021-12-03,7.23,54.614,-3.155,1,1,12,2021
2021-12-04,5.29,54.614,-3.155,1,1,12,2021
2021-12-05,3.38,54.614,-3.155,1,1,12,2021
2021-12-06,4.56,54.614,-3.155,1,1,12,2021
2021-12-07,4.51,54.614,-3.155,1,1,12,2021
2021-12-08,5.06,54.614,-3.155,1,1,12,2021
2021-12-09,5.82,54.614,-3.155,1,1,12,2021
2021-12-10,4.49,54.614,-3.155,1,1,12,2021
2021-12-11,6.8,54.614,-3.155,1,1,12,2021
2021-12-12,10.77,54.614,-3.155,1,1,12,2021
2021-12-13,7.24,54.614,-3.155,1,1,12,2021
2021-12-14,7.31,54.614,-3.155,1,1,12,2021
2021-12-15,10.22,54.614,-3.155,1,1,12,2021
2021-12-16,8.94,54.614,-3.155,1,1,12,2021
2021-12-17,4.27,54.614,-3.155,1,1,12,2021
2021-12-18,0.4,54.614,-3.155,1,1,12,2021
2021-12-19,-0.39,54.614,-3.155,1,1,12,2021
2021-12-20,1.91,54.614,-3.155,1,1,12,2021
2021-12-21,2.5,54.614,-3.155,1,1,12,2021
2021-12-22,3.27,54.614,-3.155,1,1,12,2021
2021-12-23,8.52,54.614,-3.155,1,1,12,2021
2021-12-24,6.95,54.614,-3.155,1,1,12,2021
2021-12-25,3.87,54.614,-3.155,1,1,12,2021
2021-12-26,4.0,54.614,-3.155,1,1,12,2021
2021-12-27,6.33,54.614,-3.155,1,1,12,2021
2021-12-28,6.65,54.614,-3.155,1,1,12,2021
2021-12-29,8.9,54.614,-3.155,1,1,12,2021
2021-12-30,11.88,54.614,-3.155,1,1,12,2021
2021-12-31,12.73,54.614,-3.155,1,1,12,2021
2022-01-01,12.94,54.614,-3.155,1,1,1,2022
2022-01-02,10.5,54.614,-3.155,1,1,1,2022
2022-01-03,7.85,54.614,-3.155,1,1,1,2022
2022-01-04,0.85,54.614,-3.155,1,1,1,2022
2022-01-05,1.3,54.614,-3.155,1,1,1,2022
2022-01-06,3.29,54.614,-3.155,1,1,1,2022
2022-01-07,2.85,54.614,-3.155,1,1,1,2022
2022-01-08,6.12,54.614,-3.155,1,1,1,2022
2022-01-09,5.96,54.614,-3.155,1,1,1,2022
2022-01-10,7.75,54.614,-3.155,1,1,1,2022
2022-01-11,4.45,54.614,-3.155,1,1,1,2022
2022-01-12,7.85,54.614,-3.155,1,1,1,2022
2022-01-13,6.85,54.614,-3.155,1,1,1,2022
2022-01-14,5.38,54.614,-3.155,1,1,1,2022
2022-01-15,3.17,54.614,-3.155,1,1,1,2022
2022-01-16,6.05,54.614,-3.155,1,1,1,2022
2022-01-17,3.42,54.614,-3.155,1,1,1,2022
2022-01-18,4.01,54.614,-3.155,1,1,1,2022
2022-01-19,6.65,54.614,-3.155,1,1,1,2022
2022-01-20,0.85,54.614,-3.155,1,1,1,2022
2022-01-21,5.65,54.614,-3.155,1,1,1,2022
2022-01-22,6.96,54.614,-3.155,1,1,1,2022
2022-01-23,6.72,54.614,-3.155,1,1,1,2022
2022-01-24,6.0,54.614,-3.155,1,1,1,2022
2022-01-25,4.43,54.614,-3.155,1,1,1,2022
2022-01-26,8.0,54.614,-3.155,1,1,1,2022
2022-01-27,8.1,54.614,-3.155,1,1,1,2022
2022-01-28,8.48,54.614,-3.155,1,1,1,2022
2022-01-29,8.85,54.614,-3.155,1,1,1,2022
2022-01-30,4.72,54.614,-3.155,1,1,1,2022
2022-01-31,5.72,54.614,-3.155,1,1,1,2022
2022-02-01,9.24,54.614,-3.155,1,1,2,2022
2022-02-02,9.21,54.614,-3.155,1,1,2,2022
2022-02-03,8.9,54.614,-3.155,1,1,2,2022
2022-02-04,4.05,54.614,-3.155,1,1,2,2022
2022-02-05,6.92,54.614,-3.155,1,1,2,2022
2022-02-06,4.96,54.614,-3.155,1,1,2,2022
2022-02-07,6.08,54.614,-3.155,1,1,2,2022
2022-02-08,8.71,54.614,-3.155,1,1,2,2022
2022-02-09,6.4,54.614,-3.155,1,1,2,2022
2022-02-10,4.63,54.614,-3.155,1,1,2,2022
2022-02-11,2.48,54.614,-3.155,1,1,2,2022
2022-02-12,7.96,54.614,-3.155,1,1,2,2022
2022-02-13,7.99,54.614,-3.155,1,1,2,2022
2022-02-14,5.67,54.614,-3.155,1,1,2,2022
2022-02-15,6.46,54.614,-3.155,1,1,2,2022
2022-02-16,10.33,54.614,-3.155,1,1,2,2022
2022-02-17,5.55,54.614,-3.155,1,1,2,2022
2022-02-18,4.67,54.614,-3.155,1,1,2,2022
2022-02-19,4.22,54.614,-3.155,1,1,2,2022
2022-02-20,7.98,54.614,-3.155,1,1,2,2022
2022-02-21,6.94,54.614,-3.155,1,1,2,2022
2022-02-22,7.75,54.614,-3.155,1,1,2,2022
2022-02-23,7.56,54.614,-3.155,1,1,2,2022
2022-02-24,3.71,54.614,-3.155,1,1,2,2022
2022-02-25,5.89,54.614,-3.155,1,1,2,2022
2022-02-26,7.92,54.614,-3.155,1,1,2,2022
2022-02-27,6.8,54.614,-3.155,1,1,2,2022
2022-02-28,6.94,54.614,-3.155,1,1,2,2022
2022-03-01,1.95,54.614,-3.155,1,2,3,2022
2022-03-02,7.11,54.614,-3.155,1,2,3,2022
2022-03-03,6.65,54.614,-3.155,1,2,3,2022
2022-03-04,5.49,54.614,-3.155,1,2,3,2022
2022-03-05,4.19,54.614,-3.155,1,2,3,2022
2022-03-06,3.48,54.614,-3.155,1,2,3,2022
2022-03-07,2.31,54.614,-3.155,1,2,3,2022
2022-03-08,5.92,54.614,-3.155,1,2,3,2022
2022-03-09,8.82,54.614,-3.155,1,2,3,2022
2022-03-10,9.25,54.614,-3.155,1,2,3,2022
2022-03-11,10.02,54.614,-3.155,1,2,3,2022
2022-03-12,8.53,54.614,-3.155,1,2,3,2022
2022-03-13,8.9,54.614,-3.155,1,2,3,2022
2022-03-14,7.71,54.614,-3.155,1,2,3,2022
2022-03-15,8.34,54.614,-3.155,1,2,3,2022
2022-03-16,7.1,54.614,-3.155,1,2,3,2022
2022-03-17,5.96,54.614,-3.155,1,2,3,2022
2022-03-18,7.97,54.614,-3.155,1,2,3,2022
2022-03-19,10.54,54.614,-3.155,1,2,3,2022
2022-03-20,7.08,54.614,-3.155,1,2,3,2022
2022-03-21,5.85,54.614,-3.155,1,2,3,2022
2022-03-22,12.17,54.614,-3.155,1,2,3,2022
2022-03-23,11.31,54.614,-3.155,1,2,3,2022
2022-03-24,9.87,54.614,-3.155,1,2,3,2022
2022-03-25,9.65,54.614,-3.155,1,2,3,2022
2022-03-26,10.4,54.614,-3.155,1,2,3,2022
2022-03-27,10.02,54.614,-3.155,1,2,3,2022
2022-03-28,10.61,54.614,-3.155,1,2,3,2022
2022-03-29,9.83,54.614,-3.155,1,2,3,2022
2022-03-30,3.86,54.614,-3.155,1,2,3,2022
2022-03-31,3.06,54.614,-3.155,1,2,3,2022
2022-04-01,3.67,54.614,-3.155,1,2,4,2022
2022-04-02,4.12,54.614,-3.155,1,2,4,2022
2022-04-03,4.99,54.614,-3.155,1,2,4,2022
2022-04-04,9.72,54.614,-3.155,1,2,4,2022
2022-04-05,9.48,54.614,-3.155,1,2,4,2022
2022-04-06,8.29,54.614,-3.155,1,2,4,2022
2022-04-07,5.18,54.614,-3.155,1,2,4,2022
2022-04-08,3.35,54.614,-3.155,1,2,4,2022
2022-04-09,4.21,54.614,-3.155,1,2,4,2022
2022-04-10,5.42,54.614,-3.155,1,2,4,2022
2022-04-11,10.31,54.614,-3.155,1,2,4,2022
2022-04-12,9.85,54.614,-3.155,1,2,4,2022
2022-04-13,10.55,54.614,-3.155,1,2,4,2022
2022-04-14,12.08,54.614,-3.155,1,2,4,2022
2022-04-15,11.98,54.614,-3.155,1,2,4,2022
2022-04-16,12.21,54.614,-3.155,1,2,4,2022
2022-04-17,12.95,54.614,-3.155,1,2,4,2022
2022-04-18,9.3,54.614,-3.155,1,2,4,2022
2022-04-19,7.16,54.614,-3.155,1,2,4,2022
2022-04-20,10.27,54.614,-3.155,1,2,4,2022
2022-04-21,11.94,54.614,-3.155,1,2,4,2022
2022-04-22,10.74,54.614,-3.155,1,2,4,2022
2022-04-23,11.04,54.614,-3.155,1,2,4,2022
2022-04-24,9.91,54.614,-3.155,1,2,4,2022
2022-04-25,8.95,54.614,-3.155,1,2,4,2022
